a,b,seq,,,,,,,,22,43,1
1,3,0,,,,,,,,22,45,0
2,3,1,,,,,,,,22,46,5
1,4,2,,,,,,,,22,47,27
3,4,0,,,,,,,,22,48,1
1,5,3,,,,,,,,22,49,11
2,5,3,,,,,,,,22,50,5
3,5,4,,,,,,,,22,51,21
4,5,5,,,,,,,,22,52,0
1,6,6,,,,,,,,22,53,1
2,6,7,,,,,,,,22,54,40
4,6,0,,,,,,,,23,40,5
5,6,3,,,,,,,,23,41,7
1,7,8,,,,,,,,23,42,1
2,7,9,,,,,,,,23,43,3
3,7,1,,,,,,,,23,44,5
4,7,8,,,,,,,,23,45,23
5,7,3,,,,,,,,23,47,1
6,7,10,,,,,,,,23,48,3
1,8,7,,,,,,,,23,49,3
2,8,1,,,,,,,,23,50,23
3,8,0,,,,,,,,23,51,8
5,8,5,,,,,,,,23,52,1
6,8,7,,,,,,,,23,53,5
7,8,1,,,,,,,,23,54,3
1,9,2,,,,,,,,22,40,40
2,9,11,,,,,,,,22,41,5
3,9,12,,,,,,,,22,42,21
4,9,13,,,,,,,,,,
5,9,7,,,,,,,,,,
6,9,2,,,,,,,,,,
7,9,14,,,,,,,,,,
8,9,7,,,,,,,,,,
1,10,0,,,,,,,,,,
2,10,15,,,,,,,,,,
3,10,4,,,,,,,,,,
4,10,0,,,,,,,,,,
6,10,3,,,,,,,,,,
7,10,3,,,,,,,,,,
8,10,0,,,,,,,,,,
9,10,15,,,,,,,,,,
1,11,16,,,,,,,,,,
2,11,4,,,,,,,,,,
3,11,0,,,,,,,,,,
4,11,2,,,,,,,,,,
5,11,4,,,,,,,,,,
6,11,0,,,,,,,,,,
7,11,17,,,,,,,,,,
8,11,16,,,,,,,,,,
9,11,2,,,,,,,,,,
10,11,0,,,,,,,,,,
1,12,15,,,,,,,,,,
2,12,18,,,,,,,,,,
3,12,1,,,,,,,,,,
4,12,3,,,,,,,,,,
5,12,3,,,,,,,,,,
7,12,8,,,,,,,,,,
8,12,1,,,,,,,,,,
9,12,12,,,,,,,,,,
10,12,3,,,,,,,,,,
11,12,11,,,,,,,,,,
1,13,5,,,,,,,,,,
2,13,1,,,,,,,,,,
3,13,4,,,,,,,,,,
4,13,0,,,,,,,,,,
5,13,3,,,,,,,,,,
6,13,4,,,,,,,,,,
7,13,1,,,,,,,,,,
8,13,19,,,,,,,,,,
9,13,20,,,,,,,,,,
10,13,5,,,,,,,,,,
11,13,0,,,,,,,,,,
12,13,1,,,,,,,,,,
1,14,2,,,,,,,,,,
2,14,7,,,,,,,,,,
3,14,15,,,,,,,,,,
4,14,5,,,,,,,,,,
5,14,4,,,,,,,,,,
6,14,2,,,,,,,,,,
8,14,5,,,,,,,,,,
9,14,11,,,,,,,,,,
10,14,7,,,,,,,,,,
11,14,2,,,,,,,,,,
12,14,11,,,,,,,,,,
13,14,4,,,,,,,,,,
1,15,3,,,,,,,,,,
2,15,15,,,,,,,,,,
3,15,0,,,,,,,,,,
4,15,21,,,,,,,,,,
5,15,22,,,,,,,,,,
6,15,3,,,,,,,,,,
7,15,8,,,,,,,,,,
8,15,11,,,,,,,,,,
9,15,15,,,,,,,,,,
10,15,0,,,,,,,,,,
11,15,23,,,,,,,,,,
12,15,3,,,,,,,,,,
13,15,20,,,,,,,,,,
14,15,8,,,,,,,,,,
1,16,3,,,,,,,,,,
2,16,3,,,,,,,,,,
3,16,7,,,,,,,,,,
4,16,2,,,,,,,,,,
5,16,15,,,,,,,,,,
6,16,3,,,,,,,,,,
7,16,3,,,,,,,,,,
9,16,2,,,,,,,,,,
10,16,23,,,,,,,,,,
11,16,24,,,,,,,,,,
12,16,3,,,,,,,,,,
13,16,3,,,,,,,,,,
14,16,2,,,,,,,,,,
15,16,22,,,,,,,,,,
1,17,0,,,,,,,,,,
2,17,7,,,,,,,,,,
3,17,1,,,,,,,,,,
4,17,0,,,,,,,,,,
5,17,3,,,,,,,,,,
6,17,14,,,,,,,,,,
7,17,25,,,,,,,,,,
8,17,0,,,,,,,,,,
9,17,3,,,,,,,,,,
10,17,3,,,,,,,,,,
11,17,0,,,,,,,,,,
12,17,26,,,,,,,,,,
13,17,1,,,,,,,,,,
14,17,5,,,,,,,,,,
15,17,0,,,,,,,,,,
16,17,3,,,,,,,,,,
1,18,8,,,,,,,,,,
2,18,1,,,,,,,,,,
3,18,0,,,,,,,,,,
4,18,8,,,,,,,,,,
5,18,3,,,,,,,,,,
6,18,0,,,,,,,,,,
7,18,1,,,,,,,,,,
8,18,8,,,,,,,,,,
10,18,0,,,,,,,,,,
11,18,4,,,,,,,,,,
12,18,1,,,,,,,,,,
13,18,0,,,,,,,,,,
14,18,23,,,,,,,,,,
15,18,8,,,,,,,,,,
16,18,3,,,,,,,,,,
17,18,0,,,,,,,,,,
1,19,2,,,,,,,,,,
2,19,4,,,,,,,,,,
3,19,7,,,,,,,,,,
4,19,5,,,,,,,,,,
5,19,4,,,,,,,,,,
6,19,2,,,,,,,,,,
7,19,8,,,,,,,,,,
8,19,15,,,,,,,,,,
9,19,7,,,,,,,,,,
10,19,4,,,,,,,,,,
11,19,2,,,,,,,,,,
12,19,7,,,,,,,,,,
13,19,4,,,,,,,,,,
14,19,7,,,,,,,,,,
15,19,15,,,,,,,,,,
16,19,2,,,,,,,,,,
17,19,7,,,,,,,,,,
18,19,4,,,,,,,,,,
1,20,27,,,,,,,,,,
2,20,15,,,,,,,,,,
3,20,23,,,,,,,,,,
4,20,0,,,,,,,,,,
5,20,7,,,,,,,,,,
6,20,3,,,,,,,,,,
7,20,15,,,,,,,,,,
8,20,7,,,,,,,,,,
9,20,14,,,,,,,,,,
11,20,0,,,,,,,,,,
12,20,15,,,,,,,,,,
13,20,28,,,,,,,,,,
